Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAA0042-Manage Department,Chrome 68.0.3440.106,,2018-09-20 18:44:11,2018-09-20 18:45:40,1m - 28.173s,FAILED
,,,,,,
Test Cases/Manage Department/TCA094001,Chrome 68.0.3440.106,,2018-09-20 18:44:12,2018-09-20 18:44:22,10.098s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 18:44:12,2018-09-20 18:44:16,4.074s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 18:44:16,2018-09-20 18:44:19,2.749s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 18:44:19,2018-09-20 18:44:19,0.247s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-20 18:44:19,2018-09-20 18:44:20,0.205s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:44:20,2018-09-20 18:44:22,2.305s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:22,2018-09-20 18:44:22,0.097s,PASSED
,,,,,,
Test Cases/Manage Department/TCA094002,Chrome 68.0.3440.106,,2018-09-20 18:44:22,2018-09-20 18:44:57,34.625s,FAILED
click,Chrome 68.0.3440.106,,2018-09-20 18:44:22,2018-09-20 18:44:23,0.616s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:23,2018-09-20 18:44:23,0.066s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:23,2018-09-20 18:44:23,0.061s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:23,2018-09-20 18:44:23,0.060s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:23,2018-09-20 18:44:23,0.096s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:23,2018-09-20 18:44:23,0.072s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:44:23,2018-09-20 18:44:23,0.166s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:23,2018-09-20 18:44:24,0.079s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:44:24,2018-09-20 18:44:57,33.160s,FAILED
,,,,,,
Test Cases/Manage Department/TCA094003,Chrome 68.0.3440.106,,2018-09-20 18:44:57,2018-09-20 18:45:39,42.158s,FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 18:44:57,2018-09-20 18:45:04,7.430s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:45:04,2018-09-20 18:45:05,0.998s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:45:05,2018-09-20 18:45:06,0.279s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:45:06,2018-09-20 18:45:06,0.121s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:45:06,2018-09-20 18:45:39,32.961s,FAILED
